ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"43.135.154.94","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","153","Tencent Cloud Computing","21127","socks5","4998","2","2024-03-15T23:55:24.801Z","87","5628","6442"
"45.7.210.199","elite","AS265729","AR","Cooperativa de Servicios Públicos de Porteña LTDA","299","Cooperativa de Servicios Públicos de Porteña LTDA","4153","socks4","4600","2","2024-03-15T23:55:24.799Z","100","6427","6459"
"66.42.63.207","elite","AS20473","SG","Choopa","195","N/A","13802","socks5","5898","2","2024-03-15T23:55:13.090Z","98","6406","6510"
"149.20.253.66","elite","AS18615","US","Mainstream Fiber Networks, LLC","102","Mainstream Fiber Networks, LLC","12551","socks4","1995","3","2024-03-15T23:55:13.092Z","100","6474","6486"
"103.94.133.94","elite","AS136128","ID","PT CITRA AKSES INDONUSA","165","PT CITRA AKSES INDONUSA","4153","socks5","3306","79","2024-03-15T23:55:13.088Z","99","6360","6453"
"109.73.181.155","elite","AS49924","IT","ECROM-MAIN","55","N/A","4145","socks4","2799","7","2024-03-15T23:55:13.086Z","58","3682","6350"
"47.114.81.218","elite","AS37963","CN","Addresses CNNIC","194","Aliyun Computing Co., LTD","8060","socks4","4107","3","2024-03-15T23:55:12.790Z","89","5699","6405"
"183.89.40.224","elite","AS45629","TH","Triple T Broadband Public Company Limited","178","Triple T Broadband Public Company Limited","1080","socks4","3710","2","2024-03-15T23:55:12.794Z","99","6418","6503"
"103.12.246.33","elite","AS134941","IN","Instant Cable Network PVT LTD","195","Instant Cable Network PVT LTD","4145","socks4","4610","2","2024-03-15T23:55:12.886Z","99","6514","6560"
"202.21.117.126","elite","AS9484","MN","Mobinet LLC","185","N/A","5678","socks4","4390","3","2024-03-15T23:55:02.203Z","100","6516","6522"
"140.237.144.43","elite","AS4134","CN","Chinanet","283","Chinanet FJ","53309","socks4","556","2","2024-03-15T23:55:02.290Z","59","3825","6529"
"203.30.190.46","elite","AS209242","BZ","Cloudflare London, LLC","12","Umpire Associates LTD","80","socks4","3999","2","2024-03-15T23:55:02.292Z","100","6527","6527"
"46.19.141.98","elite","AS51852","CH","Private Layer INC","17","Private Layer INC","9050","socks4","4204","86","2024-03-15T23:55:02.587Z","100","6477","6488"
"8.218.205.195","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","301","Alibaba.com Singapore E-Commerce Private Limited","5555","socks5","3810","3","2024-03-15T23:55:02.585Z","62","4039","6535"
"187.155.218.135","elite","AS8151","MX","Uninet S.A. de C.V.","122","Uninet S.A. de C.V.","8081","socks5","5008","1","2024-03-15T23:55:02.295Z","83","5418","6564"
"31.206.38.40","elite","AS15924","TR","Vodafone Net Iletisim Hizmetler","67","Vodafone Net Iletisim Hizmetler","15924","socks4","1103","3","2024-03-15T23:55:02.589Z","100","6491","6510"
"185.171.54.30","elite","AS44285","IR","Shahrad","86","N/A","4153","socks4","3201","2","2024-03-15T23:55:02.289Z","96","6207","6438"
"118.99.103.114","elite","AS17451","ID","Biznet Metronet","280","N/A","32491","socks4","320","1","2024-03-15T23:55:02.297Z","91","5924","6519"
"150.230.96.150","elite","AS31898","JP","Oracle Corporation","229","Oracle Cloud Infrastructure (ap-tokyo-1)","19291","socks5","4988","2","2024-03-15T23:54:51.097Z","100","6541","6569"
"80.82.147.5","elite","AS39906","CZ","Coprosys NeTron, s.r.o.","31","NETRON","4153","socks4","2398","2","2024-03-15T23:54:51.385Z","28","1815","6583"
"103.77.227.161","elite","AS64298","ID","UPN Veteran Surabaya","191","UPN Veteran Surabaya","4153","socks4","3086","3","2024-03-15T23:54:51.303Z","96","6284","6545"
"45.226.48.6","elite","AS267015","BR","Esadinet - Empresa De Servicos Adm. De Itubera LTD","294","Esadinet - Empresa De Servicos Adm. De Itubera LTD","4153","socks4","4298","84","2024-03-15T23:54:51.302Z","98","6436","6554"
"181.15.156.170","elite","AS7303","AR","Telecom Argentina S.A.","300","Telecom Argentina S.A","8080","socks5","4905","2","2024-03-15T23:54:51.100Z","99","6402","6494"
"110.232.249.172","elite","AS45232","IN","Spacenet  PVT LTD","170","509 Jaina tower 1st District Center","51327","socks4","1992","2","2024-03-15T23:54:38.784Z","71","4560","6444"
"46.200.72.130","elite","AS6849","UA","UKRTELECOM","52","JSC Ukrtelecom","5678","socks4","2591","1","2024-03-15T23:54:38.685Z","97","6254","6430"
"213.136.82.183","elite","AS51167","DE","Contabo GmbH","86","Contabo GmbH","43052","socks5","600","2","2024-03-15T23:54:38.787Z","80","5213","6553"
"75.119.206.82","elite","AS26347","US","New Dream Network, LLC","162","New Dream Network, LLC","32524","socks4","820","2","2024-03-15T23:54:37.914Z","65","4217","6523"
"197.234.13.42","elite","AS36902","SC","Intelvision","293","Intelvision Ltd","4145","socks4","5111","2","2024-03-15T23:54:37.902Z","99","6474","6523"
"112.215.33.114","elite","AS17885","ID","XL-AXIATA Tbk GSM","283","N/A","3629","socks4","4287","2","2024-03-15T23:54:37.984Z","98","6349","6475"
"129.226.208.98","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","387","Aceville Pte.ltd","443","socks4","5011","1","2024-03-15T23:54:37.907Z","97","6227","6436"
"177.72.115.25","elite","AS262558","BR","Prompt Brasil Solucoes EM TI Ltda","194","Prompt Brasil Solucoes EM TI Ltda","31164","socks4","2407","3","2024-03-15T23:54:37.900Z","100","6541","6566"
"203.34.28.99","elite","AS209242","VG","Cloudflare London, LLC","79","Anaga Consulting Limited","80","socks4","5001","2","2024-03-15T23:54:37.913Z","100","6501","6503"
"143.255.178.129","elite","AS264641","CL","LanProject SPA","206","LanProject SPA","4153","socks4","4899","2","2024-03-15T23:54:26.691Z","100","6537","6559"
"143.202.226.31","elite","AS262346","BR","FP Telecomunicacoes Ltda","232","FP Telecomunicacoes Ltda","4145","socks4","4598","3","2024-03-15T23:54:26.997Z","84","5498","6550"
"46.23.53.164","elite","AS197296","CZ","MAXTEL s.r.o. 1","29","MAXTEL s.r.o.","3629","socks4","4498","2","2024-03-15T23:54:26.687Z","100","6475","6491"
"180.183.64.159","elite","AS45629","TH","Triple T Broadband Public Company Limited","204","Triple T Broadband Public Company Limited","5678","socks4","694","2","2024-03-15T23:54:26.692Z","94","6076","6461"
"182.16.191.202","elite","AS17995","ID","PT iForte Global Internet","786","N/A","5678","socks4","5003","2","2024-03-15T23:54:26.696Z","72","4677","6454"
"110.78.149.20","elite","AS131090","TH","CAT-BB","281","N/A","4145","socks4","900","2","2024-03-15T23:54:15.498Z","73","4766","6516"
"203.76.103.57","elite","AS23688","BD","Link3 Technologies Limited","191","Corporate Subscriber","4145","socks4","1684","5","2024-03-15T23:54:15.584Z","97","6343","6525"
"43.157.41.119","elite","AS132203","DE","Shenzhen Tencent Computer Systems Company Limited","81","Tencent Cloud Computing","443","socks5","1801","2","2024-03-15T23:54:15.794Z","25","1628","6502"
"194.12.124.188","elite","AS35816","UA","Lancom Ltd.","85","Scientific-Industrial Enterprise \"Myst\" LLC","3629","socks4","4803","2","2024-03-15T23:54:15.587Z","99","6296","6361"
"201.251.155.249","elite","AS22927","AR","Telefonica de Argentina","299","Cooperativa Telefonica OYIKIL LTDA","5678","socks4","1913","3","2024-03-15T23:54:15.495Z","99","6379","6436"
"212.200.161.241","elite","AS8400","RS","TELEKOM SRBIJA a.d.","35","Admira DOO Kragujevac","5678","socks5","4394","2","2024-03-15T23:54:05.589Z","100","6461","6489"
"171.97.115.156","elite","AS17552","TH","True Internet Corporation CO. Ltd.","197","Truenet Hisp","8888","socks4","2112","2","2024-03-15T23:54:05.293Z","37","2412","6470"
"102.64.116.100","elite","AS328500","CG","A.M.C Telecom","213","A.M.C Telecom","4145","socks4","4903","1","2024-03-15T23:54:05.296Z","99","6362","6455"
"131.0.87.225","elite","AS262420","BR","Cabonnet Internet Ltda","292","Cabonnet Internet Ltda","52017","socks4","4494","91","2024-03-15T23:53:55.295Z","97","6359","6541"
"49.48.147.64","elite","AS45629","TH","Triple T Broadband Public Company Limited","201","Triple T Broadband Public Company Limited","8080","socks4","2507","4","2024-03-15T23:53:55.596Z","98","6388","6500"
"43.153.177.137","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","256","Tencent Cloud Computing","13220","socks4","4711","5","2024-03-15T23:53:55.592Z","98","6344","6484"
"178.128.84.253","elite","AS14061","SG","DigitalOcean, LLC","191","Digitalocean","9050","socks4","3203","2","2024-03-15T23:53:55.393Z","100","6543","6549"
"137.220.176.177","elite","AS64050","JP","Rackip Consultancy Pte. LTD","257","CTG Server Ltd.","20089","socks5","4688","2","2024-03-15T23:53:55.594Z","12","819","6561"
"172.67.231.3","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","4992","2","2024-03-15T23:53:55.386Z","100","6509","6509"
"222.95.242.184","elite","AS4134","CN","Chinanet","196","Chinanet JS","4134","socks5","1209","1","2024-03-15T23:53:44.386Z","55","3594","6492"
"171.80.186.146","elite","AS4134","CN","Chinanet","234","Chinanet HB","3256","socks4","2700","2","2024-03-15T23:53:44.389Z","36","2335","6480"
"138.186.93.4","elite","AS263124","BR","ZAP TELECOM LTDA","212","ZAP TELECOM LTDA","5678","socks4","610","1","2024-03-15T23:53:44.390Z","85","5640","6600"
"103.47.93.247","elite","AS134058","IN","Broban Internet Services Pvt.ltd","167","Broban  PVT Ltd.","1080","socks4","1688","82","2024-03-15T23:53:44.393Z","99","6437","6496"
"84.23.54.47","elite","AS47764","RU","LLC VK","92","VK Cloud Solutions","47764","socks4","5300","2","2024-03-15T23:53:44.589Z","100","6432","6450"
"47.241.238.217","elite","AS45102","SG","Alibaba Cloud LLC","336","ALICLOUD-SG","1080","socks5","4605","1","2024-03-15T23:53:44.387Z","100","6426","6457"
"135.125.56.179","elite","AS16276","FR","OVH SAS","8","OVH","25165","socks5","5097","2","2024-03-15T23:53:44.592Z","100","6462","6485"
"172.67.53.215","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","1327","2","2024-03-15T23:53:33.096Z","100","6481","6481"
"182.53.129.19","elite","AS23969","TH","TOT Public Company Limited","218","TOT Public Company Limited","5678","socks4","1493","3","2024-03-15T23:53:33.186Z","47","3045","6445"
"186.47.82.62","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","200","Corporacion Nacional De Telecomunicaciones - CNT EP","53523","socks4","5003","1","2024-03-15T23:53:33.397Z","65","4289","6549"
"156.34.105.58","elite","AS855","CA","Bell Canada","186","Bell Aliant / FibreOp","5678","socks4","3794","2","2024-03-15T23:53:33.395Z","57","3714","6467"
"118.174.46.146","elite","AS131293","TH","TOT Public Company Limited","289","TOT Public Company Limited","45330","socks4","3998","3","2024-03-15T23:53:22.296Z","98","6443","6551"
"103.44.15.193","elite","AS133685","IN","SDN TELECOM PVT LTD","163","SDN Telecom PVT LTD","4145","socks4","6082","3","2024-03-15T23:53:21.987Z","99","6460","6512"
"106.52.65.104","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","209","Tencent cloud computing (Beijing) Co., Ltd.","1080","socks4","2387","2","2024-03-15T23:53:10.091Z","87","5718","6540"
"185.169.181.13","elite","AS34984","TR","Ates Dc","54","Ibrahim MALA trading as Ates Dc","4145","socks4","1197","2","2024-03-15T23:53:10.686Z","100","6555","6573"
"78.38.108.199","elite","AS58224","IR","Iran Telecommunication Company PJS","194","Abol Medical University","1080","socks5","2804","1","2024-03-15T23:53:10.094Z","85","5517","6510"
"186.46.166.50","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","190","Corporacion Nacional De Telecomunicaciones - CNT EP","5678","socks4","5314","2","2024-03-15T23:53:10.689Z","93","6060","6491"
"119.197.0.17","elite","AS4766","KR","Korea Telecom","291","Kornet","4145","socks4","3505","3","2024-03-15T23:53:10.584Z","100","6537","6562"
"202.124.43.252","elite","AS9902","KH","NeocomISP Limited","281","NeocomISP Limited","4145","socks4","3587","2","2024-03-15T23:52:59.201Z","99","6464","6538"
"70.185.95.162","elite","AS22773","US","Cox Communications Inc.","118","Cox Communications Inc.","39593","socks4","3210","1","2024-03-15T23:52:59.196Z","99","6472","6535"
"110.78.138.125","elite","AS131090","TH","CAT-BB","237","N/A","8080","socks4","4102","1","2024-03-15T23:52:59.198Z","85","5483","6472"
"221.219.97.117","elite","AS4808","CN","China Unicom Beijing Province Network","288","N/A","1080","socks5","4006","3","2024-03-15T23:52:59.402Z","36","2377","6515"
"144.91.107.252","elite","AS51167","DE","Contabo GmbH","19","Contabo GmbH","18940","socks4","4907","2","2024-03-15T23:52:59.485Z","100","6473","6476"
"103.113.12.90","elite","AS137554","BD","Dewan Riazul Islam","187","N/A","4673","socks4","4590","2","2024-03-15T23:52:48.087Z","97","6248","6469"
"217.197.151.182","elite","AS34093","CZ","PREROV","35","N/A","5678","socks4","5087","3","2024-03-15T23:52:47.890Z","100","6539","6549"
"186.251.255.45","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","291","Seanet Telecom Carazinho Eireli","31337","socks4","3201","88","2024-03-15T23:52:47.888Z","99","6460","6495"
"47.102.194.161","elite","AS37963","CN","Addresses CNNIC","195","Aliyun Computing Co., LTD","22002","socks5","2691","2","2024-03-15T23:52:47.894Z","64","4179","6540"
"124.158.186.34","elite","AS55685","ID","PT Jala Lintas Media","190","N/A","5678","socks4","3598","2","2024-03-15T23:52:47.896Z","94","6220","6586"
"121.129.47.25","elite","AS4766","KR","Korea Telecom","299","N/A","1080","socks5","4795","2","2024-03-15T23:52:37.095Z","82","5369","6520"
"222.124.130.195","elite","AS7713","ID","Telekomunikasi Indonesia","252","PT. TELKOM INDONESIA","4145","socks4","1700","2","2024-03-15T23:52:36.891Z","83","5402","6540"
"43.154.159.144","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","240","Tencent Cloud Computing","1080","socks5","4500","1","2024-03-15T23:52:36.885Z","79","5207","6602"
"114.220.154.35","elite","AS140292","CN","China Telecom","202","Chinanet JS","44844","socks5","3594","2","2024-03-15T23:52:36.806Z","68","4462","6543"
"114.99.14.184","elite","AS4134","CN","Chinanet","287","Chinanet AH","8004","socks5","5101","2","2024-03-15T23:52:36.889Z","58","3793","6515"
"121.13.252.58","elite","AS4134","CN","Chinanet","295","Chinanet GD","61401","socks4","5102","82","2024-03-15T23:52:36.888Z","88","5743","6526"
